Timestamp,What is your favourite Pokémon?
6/13/2019 14:29:16,Heracross
6/13/2019 14:29:24,Breloom
6/13/2019 14:29:25,Zangoose
6/13/2019 14:29:32,Metagross
6/13/2019 14:29:32,Chikorita
6/13/2019 14:29:33,Absol
6/13/2019 14:29:34,Haunter
6/13/2019 14:29:36,Staraptor
6/13/2019 14:29:38,Wartortle
6/13/2019 14:29:40,Weavile
6/13/2019 14:29:45,Scizor
6/13/2019 14:29:47,Poochyena
6/13/2019 14:29:57,Golduck
6/13/2019 14:29:58,Solosis
6/13/2019 14:29:58,Charmander
6/13/2019 14:30:01,Aggron
6/13/2019 14:30:03,Tauros
6/13/2019 14:30:06,Tyranitar
6/13/2019 14:30:13,Marshtomp
6/13/2019 14:30:11,Ampharos
6/13/2019 14:30:14,Torracat
6/13/2019 17:41:26,Lopunny
6/13/2019 14:30:20,Gyarados
6/13/2019 14:30:24,Aggron
6/13/2019 14:30:27,Gengar
6/13/2019 14:30:28,Gengar
6/13/2019 14:30:33,Arcanine
6/13/2019 14:30:35,Sylveon
6/13/2019 14:30:35,Kingler
6/13/2019 14:30:38,Mudkip
6/13/2019 14:30:43,Altaria
6/13/2019 14:30:46,Decidueye
6/13/2019 14:30:50,Latias
6/13/2019 17:51:53,Luxray
6/13/2019 14:30:53,Farfetchd
6/13/2019 14:30:55,Volcarona
6/13/2019 14:30:56,Blastoise
6/13/2019 14:30:59,Venusaur
6/13/2019 14:31:01,Sharpedo
6/13/2019 14:31:01,Mudkip
6/13/2019 14:31:03,Cyndaquil
6/13/2019 14:31:07,Wooper
6/13/2019 14:31:07,Gengar
6/13/2019 14:31:10,Meowstic
6/13/2019 14:31:17,Lucario
6/13/2019 14:31:18,Slaking
6/13/2019 14:31:19,Ludicolo
6/13/2019 14:31:22,Celebi
6/13/2019 14:31:27,Cyndaquil
6/13/2019 14:31:28,Arcanine
6/13/2019 14:31:29,Lilligant
6/13/2019 14:31:29,Aggron
6/13/2019 14:31:35,Quagsire
6/13/2019 14:31:36,Glaceon
6/13/2019 14:31:40,Tyrantrum
6/13/2019 14:31:40,Venusaur
6/13/2019 14:31:41,Bulbasaur
6/13/2019 14:31:41,Haunter
6/13/2019 14:31:46,Dunsparce
6/13/2019 14:31:46,Joltik
6/13/2019 14:31:51,Slakoth
6/13/2019 14:31:51,Darmanitan
6/13/2019 14:31:54,Weedle
