 Total battles: 752357
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 240  | Slowking-Galar     |  0.09052% | 1362   |  0.091% | 496    |  0.073% | 
 | 241  | Golduck            |  0.09005% | 1355   |  0.090% | 402    |  0.059% | 
 | 242  | Sirfetch'd         |  0.08992% | 1353   |  0.090% | 636    |  0.093% | 
 | 243  | Beartic            |  0.08626% | 1298   |  0.086% | 614    |  0.090% | 
 | 244  | Moltres            |  0.08593% | 1293   |  0.086% | 465    |  0.068% | 
 | 245  | Perrserker         |  0.08480% | 1276   |  0.085% | 518    |  0.076% | 
 | 246  | Sandaconda         |  0.08347% | 1256   |  0.083% | 441    |  0.065% | 
 | 247  | Silvally           |  0.08334% | 1254   |  0.083% | 488    |  0.072% | 
 | 248  | Cofagrigus         |  0.08214% | 1236   |  0.082% | 428    |  0.063% | 
 | 249  | Cloyster           |  0.07908% | 1190   |  0.079% | 516    |  0.076% | 
 | 250  | Corsola-Galar      |  0.07895% | 1188   |  0.079% | 433    |  0.064% | 
 | 251  | Spiritomb          |  0.07749% | 1166   |  0.077% | 342    |  0.050% | 
 | 252  | Drednaw            |  0.07629% | 1148   |  0.076% | 493    |  0.072% | 
 | 253  | Kommo-o            |  0.07589% | 1142   |  0.076% | 460    |  0.068% | 
 | 254  | Aromatisse         |  0.07536% | 1134   |  0.075% | 446    |  0.065% | 
 | 255  | Runerigus          |  0.07516% | 1131   |  0.075% | 423    |  0.062% | 
 | 256  | Slowking           |  0.07357% | 1107   |  0.074% | 590    |  0.087% | 
 | 257  | Zamazenta          |  0.07290% | 1097   |  0.073% | 465    |  0.068% | 
 | 258  | Gothorita          |  0.07257% | 1092   |  0.073% | 331    |  0.049% | 
 | 259  | Dusknoir           |  0.07224% | 1087   |  0.072% | 471    |  0.069% | 
 | 260  | Ribombee           |  0.07197% | 1083   |  0.072% | 379    |  0.056% | 
 | 261  | Tangrowth          |  0.07064% | 1063   |  0.071% | 424    |  0.062% | 
 | 262  | Greedent           |  0.06872% | 1034   |  0.069% | 508    |  0.075% | 
 | 263  | Absol              |  0.06865% | 1033   |  0.069% | 373    |  0.055% | 
 | 264  | Shiinotic          |  0.06845% | 1030   |  0.068% | 411    |  0.060% | 
 | 265  | Electivire         |  0.06845% | 1030   |  0.068% | 411    |  0.060% | 
 | 266  | Slowbro-Galar      |  0.06839% | 1029   |  0.068% | 385    |  0.057% | 
 | 267  | Aggron             |  0.06799% | 1023   |  0.068% | 419    |  0.061% | 
 | 268  | Mr. Rime           |  0.06792% | 1022   |  0.068% | 334    |  0.049% | 
 | 269  | Vaporeon           |  0.06672% | 1004   |  0.067% | 412    |  0.060% | 
 | 270  | Cinccino           |  0.06652% | 1001   |  0.067% | 431    |  0.063% | 
 | 271  | Rhydon             |  0.06453% | 971    |  0.065% | 344    |  0.050% | 
 | 272  | Lopunny            |  0.06446% | 970    |  0.064% | 418    |  0.061% | 
 | 273  | Buzzwole           |  0.06420% | 966    |  0.064% | 416    |  0.061% | 
 | 274  | Crawdaunt          |  0.06254% | 941    |  0.063% | 411    |  0.060% | 
 | 275  | Eldegoss           |  0.06247% | 940    |  0.062% | 352    |  0.052% | 
 | 276  | Mr. Mime-Galar     |  0.06214% | 935    |  0.062% | 307    |  0.045% | 
 | 277  | Vanilluxe          |  0.06174% | 929    |  0.062% | 504    |  0.074% | 
 | 278  | Clawitzer          |  0.06121% | 921    |  0.061% | 444    |  0.065% | 
 | 279  | Galvantula         |  0.05975% | 899    |  0.060% | 282    |  0.041% | 
 | 280  | Stoutland          |  0.05955% | 896    |  0.060% | 374    |  0.055% | 
 | 281  | Altaria            |  0.05842% | 879    |  0.058% | 321    |  0.047% | 
 | 282  | Swoobat            |  0.05828% | 877    |  0.058% | 386    |  0.057% | 
 | 283  | Togetic            |  0.05802% | 873    |  0.058% | 357    |  0.052% | 
 | 284  | Marowak            |  0.05802% | 873    |  0.058% | 343    |  0.050% | 
 | 285  | Regice             |  0.05775% | 869    |  0.058% | 278    |  0.041% | 
 | 286  | Diggersby          |  0.05729% | 862    |  0.057% | 404    |  0.059% | 
 | 287  | Zygarde-10%        |  0.05616% | 845    |  0.056% | 441    |  0.065% | 
 | 288  | Glaceon            |  0.05596% | 842    |  0.056% | 342    |  0.050% | 
 | 289  | Drapion            |  0.05569% | 838    |  0.056% | 330    |  0.048% | 
 | 290  | Torracat           |  0.05476% | 824    |  0.055% | 324    |  0.048% | 
 | 291  | Gourgeist-Super    |  0.05469% | 823    |  0.055% | 306    |  0.045% | 
 | 292  | Trevenant          |  0.05450% | 820    |  0.054% | 290    |  0.043% | 
 | 293  | Cursola            |  0.05450% | 820    |  0.054% | 360    |  0.053% | 
 | 294  | Audino             |  0.05423% | 816    |  0.054% | 380    |  0.056% | 
 | 295  | Cramorant          |  0.05343% | 804    |  0.053% | 309    |  0.045% | 
 | 296  | Dedenne            |  0.05277% | 794    |  0.053% | 227    |  0.033% | 
 | 297  | Steelix            |  0.05224% | 786    |  0.052% | 335    |  0.049% | 
 | 298  | Aurorus            |  0.05210% | 784    |  0.052% | 353    |  0.052% | 
 | 299  | Passimian          |  0.05204% | 783    |  0.052% | 230    |  0.034% | 
 | 300  | Arctovish          |  0.05197% | 782    |  0.052% | 336    |  0.049% | 
 | 301  | Archeops           |  0.05157% | 776    |  0.052% | 286    |  0.042% | 
 | 302  | Virizion           |  0.05097% | 767    |  0.051% | 267    |  0.039% | 
 | 303  | Tornadus-Therian   |  0.05071% | 763    |  0.051% | 316    |  0.046% | 
 | 304  | Copperajah         |  0.05064% | 762    |  0.051% | 342    |  0.050% | 
 | 305  | Zacian             |  0.04991% | 751    |  0.050% | 442    |  0.065% | 
 | 306  | Octillery          |  0.04964% | 747    |  0.050% | 328    |  0.048% | 
 | 307  | Flapple            |  0.04964% | 747    |  0.050% | 274    |  0.040% | 
